2026-08-30T00:27:53Z	CP-2	PASS	recall parity read; AC-08 may force a false choice
2026-08-30T00:34:40Z	CP-2	PASS	6 tasks; five-axis inventory; cgo hypothesis checked and rejected
2026-08-30T00:54:03Z	CP-3	PASS	T-01 contract captured, falsified both ways
2026-08-30T01:14:17Z	CP-3	PASS	T-02 3297 lines deleted; T-03 govern layer carries 5/6 refusals, sixth accounted for
2026-08-30T01:41:29Z	CP-3	PASS	T-04 verb disposition: 2 kept, 9 replaced, 13 retired, 2 open
2026-09-01T03:34:01Z	CP-6	PASS	recall v0.3.0 published and resolved from proxy; T-04 narrowed to shape 1; init->recall, config narrowed; cadre pushed
2026-09-01T04:05:06Z	CP-3	PASS	T-04 governed CLI over recall/govern; 22 verbs retired; envelope moved; embedder-identity guard added
2026-09-01T04:18:21Z	CP-3v	FAIL	6 refusals + 22 retirements + CI gate all verified independently; delete broken against recall stores, escalated
2026-09-01T04:24:29Z	CP-5	PASS	T-04 accepted: six refusals observed at the binary, delete retired, pushed df2f3211
2026-09-01T04:24:29Z	CP-6	PASS	cadre c95ed2ba..df2f3211 pushed; ls-remote confirms
2026-09-01T12:53:53Z	CP-2	PASS	T-05 scoped: staged workflow already broken against recall stores; 1 engine call site; 2 decisions
2026-09-01T13:16:54Z	CP-3	PASS	T-05 engine deleted; staged store separated onto its own pure-Go database; ingest-accepted routes to recall
2026-09-01T13:26:23Z	CP-3v	PASS	T-05 verified independently: engine gone, six refusals hold, staged workflow fixed, migration non-destructive, cgo-free knowledge path
2026-09-01T13:26:53Z	CP-5	PASS	T-05 accepted: chain observed end to end, migration non-destructive, knowledge path cgo-free
2026-09-01T13:34:40Z	CP-3	PASS	T-06: generator drift caught and fixed; cgo status measured at a cgo-less binary
2026-09-01T14:01:33Z	CP-4	PASS	3 defects found and fixed: recall CI red on the pinned tag, silent corpus corruption on upgrade, stale retention doc
2026-09-01T14:03:48Z	CP-6	PASS	recall v0.3.1 CI green on 2c00c05; cadre f578a0b4 pushed; AC-08 closed
2026-09-01T14:05:10Z	CP-7	PASS	P4 retro: 3 CP-4 defects, 2 corrected ledger claims, 4 actions
